0,100000
1,99402
2,99358
3,99333
4,99316
5,99301
6,99288
7,99276
8,99264
9,99253
10,99242
11,99230
12,99217
13,99203
14,99186
15,99165
16,99138
17,99101
18,99049
19,98983
20,98908
21,98830
22,98753
23,98675
24,98597
25,98517
26,98436
27,98353
28,98268
29,98181
30,98091
31,97997
32,97900
33,97798
34,97693
35,97582
36,97466
37,97344
38,97215
39,97080
40,96936
41,96783
42,96619
43,96441
44,96247
45,96034
46,95799
47,95538
48,95249
49,94933
50,94587
51,94212
52,93808
53,93374
54,92906
55,92395
56,91835
57,91214
58,90523
59,89754
60,88904
61,87969
62,86946
63,85834
64,84631
65,83328
66,81915
67,80379
68,78708
69,76889
70,74905
71,72743
72,70391
73,67850
74,65125
75,62224
76,59162
77,55957
78,52630
79,49207
80,45701
81,42127
82,38503
83,34852
84,31204
85,27594
86,24080
87,20722
88,17575
89,14683
90,12078
91,9777
92,7773
93,6055
94,4607
95,3412
96,2451
97,1705
98,1149
99,750
100,474
101,289
102,168
103,93
104,49
105,25
106,12
107,5
108,2
109,1
